key_resp.keys,key_resp.corr,tilt,,hit,miss,fa,cr,,,
up,1,0,,1,,,,,,
down,0,0,,,1,,,,,
up,0,-5,,,,1,,,prop hit,0.714285714
down,1,-4,,,,,1,,prop fa,0.142857143
up,1,0,,1,,,,,,
down,1,-5,,,,,1,,,
up,1,0,,1,,,,,d-prime,1.633519346
down,1,-2,,,,,1,,criterian,-1.099734084
up,1,0,,1,,,,,,
down,1,-3,,,,,1,,,
up,1,0,,,,,1,,,
down,0,0,,,1,,,,,
up,1,0,,1,,,,,,
down,1,-4,,,,,1,,,
up,0,-2,,5,2,1,6,,,
down,1,-4,,,,,,,,
down,1,-2,,,,,,,,
up,0,-4,,,,,,,,
down,0,0,,,,,,,,
up,1,0,,,,,,,,
up,0,-2,,,,,,,,
up,1,0,,,,,,,,
down,1,-5,,,,,,,,
up,0,-4,,,,,,,,
down,0,0,,,,,,,,
up,1,0,,,,,,,,
up,1,0,,,,,,,,
down,1,-5,,,,,,,,
up,0,-4,,,,,,,,
down,1,-5,,,,,,,,
down,0,0,,,,,,,,
down,1,-4,,,,,,,,
up,0,-3,,,,,,,,
down,1,-3,,,,,,,,
down,1,-5,,,,,,,,
down,1,-2,,,,,,,,
up,0,-2,,,,,,,,
up,1,0,,,,,,,,
down,1,-3,,,,,,,,
up,0,-5,,,,,,,,
down,1,-2,,,,,,,,
up,0,-5,,,,,,,,
down,0,0,,,,,,,,
up,1,0,,,,,,,,
down,1,-3,,,,,,,,
up,1,0,,,,,,,,
down,0,0,,,,,,,,
down,0,0,,,,,,,,
up,0,-5,,,,,,,,
up,1,0,,,,,,,,
up,0,-2,,,,,,,,
up,1,0,,,,,,,,
down,1,-2,,,,,,,,
up,1,0,,,,,,,,
down,1,-3,,,,,,,,
up,0,-3,,,,,,,,
up,0,-5,,,,,,,,
up,0,-4,,,,,,,,
up,0,-4,,,,,,,,
up,1,0,,,,,,,,
down,1,-3,,,,,,,,
down,1,-3,,,,,,,,
down,0,0,,,,,,,,
